分类: 📡卫视频道, 名称: 江苏卫视, 有效: 12, IPv4: 269, IPv6: 0, 最小延迟: 20 ms, 最高速率: 187.54 M/s, 平均速率: 33.32 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广西卫视, 有效: 4, IPv4: 187, IPv6: 0, 最小延迟: 703 ms, 最高速率: 6.31 M/s, 平均速率: 3.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.36, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海峡卫视, 有效: 2, IPv4: 18, IPv6: 0, 最小延迟: 3461 ms, 最高速率: 0.65 M/s, 平均速率: 0.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 2, IPv4: 204, IPv6: 0, 最小延迟: 140 ms, 最高速率: 8.50 M/s, 平均速率: 8.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 厦门卫视, 有效: 0, IPv4: 37, IPv6: 0, 最小延迟: 412 ms, 最高速率: 6.25 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 8, IPv4: 266, IPv6: 0, 最小延迟: 405 ms, 最高速率: 6.64 M/s, 平均速率: 2.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 有效: 2, IPv4: 244, IPv6: 0, 最小延迟: 140 ms, 最高速率: 8.49 M/s, 平均速率: 4.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东方卫视, 有效: 12, IPv4: 244, IPv6: 0, 最小延迟: 140 ms, 最高速率: 11.24 M/s, 平均速率: 4.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.61, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 1, IPv4: 201, IPv6: 0, 最小延迟: 140 ms, 最高速率: 8.79 M/s, 平均速率: 8.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 4, IPv4: 229, IPv6: 0, 最小延迟: 140 ms, 最高速率: 9.82 M/s, 平均速率: 4.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 3, IPv4: 175, IPv6: 0, 最小延迟: 141 ms, 最高速率: 8.95 M/s, 平均速率: 6.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 243, IPv6: 0, 最小延迟: 146 ms, 最高速率: 9.15 M/s, 平均速率: 4.77 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.09, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东卫视, 有效: 4, IPv4: 222, IPv6: 0, 最小延迟: 139 ms, 最高速率: 9.37 M/s, 平均速率: 4.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 226, IPv6: 0, 最小延迟: 140 ms, 最高速率: 6.49 M/s, 平均速率: 2.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.46, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河北卫视, 有效: 2, IPv4: 178, IPv6: 0, 最小延迟: 140 ms, 最高速率: 7.32 M/s, 平均速率: 4.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.89, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 7, IPv4: 230, IPv6: 0, 最小延迟: 132 ms, 最高速率: 9.08 M/s, 平均速率: 2.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.62, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 3, IPv4: 212, IPv6: 0, 最小延迟: 493 ms, 最高速率: 9.01 M/s, 平均速率: 3.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 3, IPv4: 216, IPv6: 0, 最小延迟: 141 ms, 最高速率: 8.34 M/s, 平均速率: 5.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.64, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 3, IPv4: 221, IPv6: 0, 最小延迟: 564 ms, 最高速率: 8.93 M/s, 平均速率: 3.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 3, IPv4: 222, IPv6: 0, 最小延迟: 141 ms, 最高速率: 7.50 M/s, 平均速率: 3.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 云南卫视, 有效: 2, IPv4: 161, IPv6: 0, 最小延迟: 195 ms, 最高速率: 8.97 M/s, 平均速率: 6.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 延边卫视, 有效: 2, IPv4: 33, IPv6: 0, 最小延迟: 1401 ms, 最高速率: 2.83 M/s, 平均速率: 2.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 2, IPv4: 110, IPv6: 0, 最小延迟: 141 ms, 最高速率: 9.35 M/s, 平均速率: 9.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 2, IPv4: 138, IPv6: 0, 最小延迟: 453 ms, 最高速率: 9.16 M/s, 平均速率: 8.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 1, IPv4: 95, IPv6: 0, 最小延迟: 141 ms, 最高速率: 8.47 M/s, 平均速率: 8.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 2, IPv4: 123, IPv6: 0, 最小延迟: 141 ms, 最高速率: 7.44 M/s, 平均速率: 7.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 3, IPv4: 106, IPv6: 0, 最小延迟: 141 ms, 最高速率: 8.92 M/s, 平均速率: 5.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 3, IPv4: 50, IPv6: 0, 最小延迟: 141 ms, 最高速率: 8.84 M/s, 平均速率: 6.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 有效: 0, IPv4: 41, IPv6: 0, 最小延迟: 140 ms, 最高速率: 0.67 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 农林卫视, 有效: 0, IPv4: 23, IPv6: 0, 最小延迟: 646 ms, 最高速率: 0.09 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 兵团卫视, 有效: 0, IPv4: 70, IPv6: 0, 最小延迟: 384 ms, 最高速率: 6.41 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 2, IPv4: 87, IPv6: 0, 最小延迟: 141 ms, 最高速率: 9.03 M/s, 平均速率: 8.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.99, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海南卫视, 有效: 1, IPv4: 123, IPv6: 0, 最小延迟: 140 ms, 最高速率: 0.68 M/s, 平均速率: 0.21 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 康巴卫视, 有效: 0, IPv4: 24, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 安多卫视, 有效: 0, IPv4: 22, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 2, IPv4: 45, IPv6: 0, 最小延迟: 387 ms, 最高速率: 7.75 M/s, 平均速率: 4.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🐤广东频道, 名称: 广东公共, 有效: 1, IPv4: 15, IPv6: 0, 最小延迟: 4342 ms, 最高速率: 0.21 M/s, 平均速率: 0.21 M/s, 最高分辨率: 1280x720, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🐤广东频道, 名称: 广东珠江, 有效: 0, IPv4: 40, IPv6: 0, 最小延迟: 10084 ms, 最高速率: 0.02 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🐤广东频道, 名称: 广东体育, 有效: 1, IPv4: 49, IPv6: 0, 最小延迟: 2548 ms, 最高速率: 0.28 M/s, 平均速率: 0.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🐤广东频道, 名称: 广东新闻, 有效: 0, IPv4: 13, IPv6: 0, 最小延迟: 7416 ms, 最高速率: 0.13 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 🐤广东频道, 名称: 广东少儿, 有效: 1, IPv4: 30, IPv6: 0, 最小延迟: 375 ms, 最高速率: 6.16 M/s, 平均速率: 4.11 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🐤广东频道, 名称: 广东综艺, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
