广东频道,#genre#
湖北卫视,http://114.243.104.92:8888/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://183.185.222.245:8085/rtp/226.0.2.49:8304$720x576
湖北卫视,http://124.64.189.63:8888/rtp/239.3.1.138:8044
湖北卫视,http://123.113.34.218:4022/rtp/239.3.1.138:8044
湖北卫视,http://111.167.226.190:4022/rtp/225.1.1.147:5002
湖北卫视,http://116.226.74.224:18888/rtp/239.45.3.239:5140
湖北卫视,http://180.111.100.226:8800/rtp/239.49.1.48:6000
湖北卫视,http://180.111.100.226:8800/rtp/239.49.8.147:6000
黑龙江卫视,http://sweetown.fun:4000/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://111.165.222.109:8000/rtp/225.1.1.115:5002$1920x1080
黑龙江卫视,http://124.64.189.63:8888/rtp/239.3.1.133:8016
黑龙江卫视,http://123.113.34.218:4022/rtp/239.3.1.133:8016
黑龙江卫视,http://111.167.226.190:4022/rtp/225.1.1.115:5002
黑龙江卫视,http://116.226.74.224:18888/rtp/239.45.3.232:5140
黑龙江卫视,http://180.111.100.226:8800/rtp/239.49.1.50:6000
黑龙江卫视,http://114.254.189.28:9999/rtp/239.3.1.133:8016
安徽卫视,http://111.165.222.109:8000/rtp/225.1.1.127:5002$1920x1080
安徽卫视,http://sweetown.fun:4000/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://124.64.189.63:8888/rtp/239.3.1.211:8064
安徽卫视,http://123.113.34.218:4022/rtp/239.3.1.211:8064
安徽卫视,http://111.167.226.190:4022/rtp/225.1.1.127:5002
安徽卫视,http://116.226.74.224:18888/rtp/239.45.1.120:5140
安徽卫视,http://180.111.100.226:8800/rtp/239.49.1.36:6000
安徽卫视,http://180.111.100.226:8800/rtp/239.49.8.204:6000
重庆卫视,http://111.165.222.109:8000/rtp/225.1.1.155:5002$1920x1080
重庆卫视,http://sweetown.fun:4000/rtp/239.3.1.122:8160$1920x1080
重庆卫视,http://183.185.222.245:8085/rtp/226.0.2.50:8312$720x576
重庆卫视,http://124.64.189.63:8888/rtp/239.3.1.122:8160
重庆卫视,http://123.113.34.218:4022/rtp/239.3.1.122:8160
重庆卫视,http://111.167.226.190:4022/rtp/225.1.1.155:5002
重庆卫视,http://116.226.74.224:18888/rtp/239.45.1.84:5140
重庆卫视,http://180.111.100.226:8800/rtp/239.49.1.42:6000
东方卫视,http://111.165.222.109:8000/rtp/225.1.2.31:5002$1920x1080
东方卫视,http://sweetown.fun:4000/rtp/239.3.1.136:8032$1920x1080
东方卫视,http://171.120.20.181:8004/rtp/226.0.2.34:8184$720x576
东方卫视,http://124.64.189.63:8888/rtp/239.3.1.136:8032
东方卫视,http://123.113.34.218:4022/rtp/239.3.1.136:8032
东方卫视,http://111.167.226.190:4022/rtp/225.1.2.31:5002
东方卫视,http://116.226.74.224:18888/rtp/239.45.3.146:5140
东方卫视,http://180.111.100.226:8800/rtp/239.49.1.32:6000
东南卫视,http://sweetown.fun:4000/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://123.123.167.240:8000/rtp/239.3.1.156:8148$1920x1080
东南卫视,http://27.10.76.34:8004/rtp/225.0.4.200:7980$720x576
东南卫视,http://171.120.20.181:8004/rtp/226.0.2.40:8232$720x576
东南卫视,http://27.10.76.34:8007/rtp/225.0.4.200:7980$720x576
